"file","group","model","scorer","mean","median"
"activemq-5.0.0",2,"DT","MCC",0.61,0.61
"activemq-5.0.0",5,"DT","LogLoss",0.42,0.42
"activemq-5.0.0",2,"DT","Gmean",0.61,0.61
"activemq-5.0.0",2,"DT","ACC",0.61,0.61
"activemq-5.0.0",3,"DT","BAL_ACC",0.6,0.6
"activemq-5.0.0",4,"DT","AUC",0.56,0.56
"activemq-5.0.0",1,"DT","F1",0.77,0.77
"activemq-5.0.0",2,"DT","F1_W",0.61,0.61
"activemq-5.0.0",6,"RF","MCC",0.4,0.4
"activemq-5.0.0",3,"RF","LogLoss",0.62,0.62
"activemq-5.0.0",4,"RF","Gmean",0.56,0.56
"activemq-5.0.0",5,"RF","ACC",0.51,0.51
"activemq-5.0.0",2,"RF","BAL_ACC",0.76,0.76
"activemq-5.0.0",1,"RF","AUC",0.79,0.79
"activemq-5.0.0",6,"RF","F1",0.4,0.4
"activemq-5.0.0",6,"RF","F1_W",0.4,0.4
"activemq-5.0.0",1,"KNN","MCC",0.81,0.81
"activemq-5.0.0",2,"KNN","LogLoss",0.78,0.78
"activemq-5.0.0",3,"KNN","Gmean",0.67,0.67
"activemq-5.0.0",1,"KNN","ACC",0.81,0.81
"activemq-5.0.0",3,"KNN","BAL_ACC",0.67,0.67
"activemq-5.0.0",1,"KNN","AUC",0.81,0.81
"activemq-5.0.0",1,"KNN","F1",0.81,0.81
"activemq-5.0.0",1,"KNN","F1_W",0.81,0.81
"activemq-5.1.0",5,"DT","MCC",0.69,0.69
"activemq-5.1.0",2,"DT","LogLoss",0.8,0.8
"activemq-5.1.0",4,"DT","Gmean",0.73,0.73
"activemq-5.1.0",5,"DT","ACC",0.69,0.69
"activemq-5.1.0",3,"DT","BAL_ACC",0.75,0.75
"activemq-5.1.0",1,"DT","AUC",0.84,0.84
"activemq-5.1.0",6,"DT","F1",0.59,0.59
"activemq-5.1.0",5,"DT","F1_W",0.69,0.69
"activemq-5.1.0",1,"RF","MCC",0.84,0.84
"activemq-5.1.0",1,"RF","LogLoss",0.84,0.84
"activemq-5.1.0",3,"RF","Gmean",0.82,0.82
"activemq-5.1.0",4,"RF","ACC",0.5,0.5
"activemq-5.1.0",2,"RF","BAL_ACC",0.83,0.83
"activemq-5.1.0",1,"RF","AUC",0.84,0.84
"activemq-5.1.0",2,"RF","F1",0.83,0.83
"activemq-5.1.0",4,"RF","F1_W",0.5,0.5
"activemq-5.1.0",4,"KNN","MCC",0.76,0.76
"activemq-5.1.0",1,"KNN","LogLoss",0.81,0.81
"activemq-5.1.0",5,"KNN","Gmean",0.6,0.6
"activemq-5.1.0",3,"KNN","ACC",0.77,0.77
"activemq-5.1.0",5,"KNN","BAL_ACC",0.6,0.6
"activemq-5.1.0",2,"KNN","AUC",0.8,0.8
"activemq-5.1.0",5,"KNN","F1",0.6,0.6
"activemq-5.1.0",4,"KNN","F1_W",0.76,0.76
"derby-10.2.1.6",4,"DT","MCC",0.73,0.73
"derby-10.2.1.6",2,"DT","LogLoss",0.78,0.78
"derby-10.2.1.6",2,"DT","Gmean",0.78,0.78
"derby-10.2.1.6",5,"DT","ACC",0.69,0.69
"derby-10.2.1.6",1,"DT","BAL_ACC",0.79,0.79
"derby-10.2.1.6",2,"DT","AUC",0.78,0.78
"derby-10.2.1.6",3,"DT","F1",0.77,0.77
"derby-10.2.1.6",5,"DT","F1_W",0.69,0.69
"derby-10.2.1.6",4,"RF","MCC",0.79,0.79
"derby-10.2.1.6",1,"RF","LogLoss",0.83,0.83
