"file","group","model","scorer","mean","median"
"jruby-1.5.0",2,"FFT","F1_W",0.19,0.19
"lucene-2.3.0",1,"FFT","MCC",0.27,0.27
"lucene-2.3.0",1,"FFT","Gmean",0.27,0.27
"lucene-2.3.0",1,"FFT","ACC",0.27,0.27
"lucene-2.3.0",1,"FFT","BAL_ACC",0.27,0.27
"lucene-2.3.0",1,"FFT","F1",0.27,0.27
"lucene-2.3.0",1,"FFT","F1_W",0.27,0.27
"lucene-2.9.0",3,"FFT","MCC",0.28,0.28
"lucene-2.9.0",3,"FFT","Gmean",0.28,0.28
"lucene-2.9.0",2,"FFT","ACC",0.31,0.31
"lucene-2.9.0",3,"FFT","BAL_ACC",0.28,0.28
"lucene-2.9.0",3,"FFT","F1",0.28,0.28
"lucene-2.9.0",1,"FFT","F1_W",0.4,0.4
"lucene-3.0.0",2,"FFT","MCC",0.16,0.16
"lucene-3.0.0",2,"FFT","Gmean",0.16,0.16
"lucene-3.0.0",2,"FFT","ACC",0.16,0.16
"lucene-3.0.0",3,"FFT","BAL_ACC",0.15,0.15
"lucene-3.0.0",3,"FFT","F1",0.15,0.15
"lucene-3.0.0",1,"FFT","F1_W",0.18,0.18
"wicket-1.3.0-beta2",3,"FFT","MCC",0.19,0.19
"wicket-1.3.0-beta2",1,"FFT","Gmean",0.22,0.22
"wicket-1.3.0-beta2",4,"FFT","ACC",0.17,0.17
"wicket-1.3.0-beta2",2,"FFT","BAL_ACC",0.21,0.21
"wicket-1.3.0-beta2",3,"FFT","F1",0.19,0.19
"wicket-1.3.0-beta2",5,"FFT","F1_W",0,0
"wicket-1.3.0-incubating-beta-1",1,"FFT","MCC",0.35,0.35
"wicket-1.3.0-incubating-beta-1",3,"FFT","Gmean",0.3,0.3
"wicket-1.3.0-incubating-beta-1",2,"FFT","ACC",0.32,0.32
"wicket-1.3.0-incubating-beta-1",3,"FFT","BAL_ACC",0.3,0.3
"wicket-1.3.0-incubating-beta-1",1,"FFT","F1",0.35,0.35
"wicket-1.3.0-incubating-beta-1",2,"FFT","F1_W",0.32,0.32
