"file","group","model","scorer","mean","median"
"activemq-5.0.0",1,"DT","MCC",0.32,0.32
"activemq-5.0.0",3,"DT","LogLoss",0.12,0.12
"activemq-5.0.0",1,"DT","Gmean",0.32,0.32
"activemq-5.0.0",1,"DT","ACC",0.32,0.32
"activemq-5.0.0",2,"DT","BAL_ACC",0.13,0.13
"activemq-5.0.0",2,"DT","AUC",0.13,0.13
"activemq-5.0.0",1,"DT","F1",0.32,0.32
"activemq-5.0.0",1,"DT","F1_W",0.32,0.32
"activemq-5.0.0",5,"RF","MCC",0.12,0.12
"activemq-5.0.0",4,"RF","LogLoss",0.13,0.13
"activemq-5.0.0",5,"RF","Gmean",0.12,0.12
"activemq-5.0.0",3,"RF","ACC",0.32,0.32
"activemq-5.0.0",2,"RF","BAL_ACC",0.4,0.4
"activemq-5.0.0",1,"RF","AUC",0.43,0.43
"activemq-5.0.0",5,"RF","F1",0.12,0.12
"activemq-5.0.0",5,"RF","F1_W",0.12,0.12
"activemq-5.0.0",1,"KNN","MCC",0.37,0.37
"activemq-5.0.0",4,"KNN","LogLoss",0.3,0.3
"activemq-5.0.0",3,"KNN","Gmean",0.34,0.34
"activemq-5.0.0",1,"KNN","ACC",0.37,0.37
"activemq-5.0.0",3,"KNN","BAL_ACC",0.34,0.34
"activemq-5.0.0",2,"KNN","AUC",0.35,0.35
"activemq-5.0.0",1,"KNN","F1",0.37,0.37
"activemq-5.0.0",1,"KNN","F1_W",0.37,0.37
"activemq-5.1.0",3,"DT","MCC",0.38,0.38
"activemq-5.1.0",2,"DT","LogLoss",0.39,0.39
"activemq-5.1.0",5,"DT","Gmean",0.35,0.35
"activemq-5.1.0",3,"DT","ACC",0.38,0.38
"activemq-5.1.0",2,"DT","BAL_ACC",0.39,0.39
"activemq-5.1.0",1,"DT","AUC",0.45,0.45
"activemq-5.1.0",6,"DT","F1",0.29,0.29
"activemq-5.1.0",4,"DT","F1_W",0.37,0.37
"activemq-5.1.0",2,"RF","MCC",0.52,0.52
"activemq-5.1.0",2,"RF","LogLoss",0.52,0.52
"activemq-5.1.0",5,"RF","Gmean",0.36,0.36
"activemq-5.1.0",6,"RF","ACC",0,0
"activemq-5.1.0",4,"RF","BAL_ACC",0.38,0.38
"activemq-5.1.0",3,"RF","AUC",0.48,0.48
"activemq-5.1.0",1,"RF","F1",0.53,0.53
"activemq-5.1.0",6,"RF","F1_W",0,0
"activemq-5.1.0",5,"KNN","MCC",0.13,0.13
"activemq-5.1.0",4,"KNN","LogLoss",0.18,0.18
"activemq-5.1.0",1,"KNN","Gmean",0.32,0.32
"activemq-5.1.0",5,"KNN","ACC",0.13,0.13
"activemq-5.1.0",2,"KNN","BAL_ACC",0.31,0.31
"activemq-5.1.0",3,"KNN","AUC",0.2,0.2
"activemq-5.1.0",2,"KNN","F1",0.31,0.31
"activemq-5.1.0",5,"KNN","F1_W",0.13,0.13
"derby-10.2.1.6",3,"DT","MCC",0.56,0.56
"derby-10.2.1.6",1,"DT","LogLoss",0.62,0.62
"derby-10.2.1.6",2,"DT","Gmean",0.6,0.6
"derby-10.2.1.6",3,"DT","ACC",0.56,0.56
"derby-10.2.1.6",2,"DT","BAL_ACC",0.6,0.6
"derby-10.2.1.6",2,"DT","AUC",0.6,0.6
"derby-10.2.1.6",2,"DT","F1",0.6,0.6
"derby-10.2.1.6",3,"DT","F1_W",0.56,0.56
"derby-10.2.1.6",5,"RF","MCC",0.6,0.6
"derby-10.2.1.6",2,"RF","LogLoss",0.63,0.63
"derby-10.2.1.6",1,"RF","Gmean",0.64,0.64
"derby-10.2.1.6",4,"RF","ACC",0.61,0.61
"derby-10.2.1.6",5,"RF","BAL_ACC",0.6,0.6
"derby-10.2.1.6",3,"RF","AUC",0.62,0.62
"derby-10.2.1.6",4,"RF","F1",0.61,0.61
"derby-10.2.1.6",4,"RF","F1_W",0.61,0.61
"derby-10.2.1.6",1,"KNN","MCC",0.63,0.63
"derby-10.2.1.6",2,"KNN","LogLoss",0.6,0.6
"derby-10.2.1.6",2,"KNN","Gmean",0.6,0.6
"derby-10.2.1.6",1,"KNN","ACC",0.63,0.63
"derby-10.2.1.6",1,"KNN","BAL_ACC",0.63,0.63
"derby-10.2.1.6",1,"KNN","AUC",0.63,0.63
"derby-10.2.1.6",2,"KNN","F1",0.6,0.6
"derby-10.2.1.6",1,"KNN","F1_W",0.63,0.63
"derby-10.3.1.4",2,"DT","MCC",0.42,0.42
"derby-10.3.1.4",2,"DT","LogLoss",0.42,0.42
"derby-10.3.1.4",4,"DT","Gmean",0.4,0.4
"derby-10.3.1.4",5,"DT","ACC",0.28,0.28
"derby-10.3.1.4",3,"DT","BAL_ACC",0.41,0.41
"derby-10.3.1.4",3,"DT","AUC",0.41,0.41
"derby-10.3.1.4",1,"DT","F1",0.45,0.45
"derby-10.3.1.4",5,"DT","F1_W",0.28,0.28
"derby-10.3.1.4",2,"RF","MCC",0.49,0.49
"derby-10.3.1.4",2,"RF","LogLoss",0.49,0.49
"derby-10.3.1.4",3,"RF","Gmean",0.47,0.47
"derby-10.3.1.4",4,"RF","ACC",0.28,0.28
"derby-10.3.1.4",3,"RF","BAL_ACC",0.47,0.47
"derby-10.3.1.4",1,"RF","AUC",0.51,0.51
"derby-10.3.1.4",1,"RF","F1",0.51,0.51
"derby-10.3.1.4",1,"RF","F1_W",0.51,0.51
"derby-10.3.1.4",4,"KNN","MCC",0.45,0.45
"derby-10.3.1.4",3,"KNN","LogLoss",0.46,0.46
"derby-10.3.1.4",4,"KNN","Gmean",0.45,0.45
"derby-10.3.1.4",2,"KNN","ACC",0.47,0.47
"derby-10.3.1.4",4,"KNN","BAL_ACC",0.45,0.45
"derby-10.3.1.4",1,"KNN","AUC",0.48,0.48
"derby-10.3.1.4",4,"KNN","F1",0.45,0.45
"derby-10.3.1.4",4,"KNN","F1_W",0.45,0.45
"activemq-5.2.0",2,"DT","MCC",0.4,0.4
"activemq-5.2.0",3,"DT","LogLoss",0.39,0.39
"activemq-5.2.0",2,"DT","Gmean",0.4,0.4
"activemq-5.2.0",2,"DT","ACC",0.4,0.4
"activemq-5.2.0",1,"DT","BAL_ACC",0.42,0.42
"activemq-5.2.0",1,"DT","AUC",0.42,0.42
"activemq-5.2.0",2,"DT","F1",0.4,0.4
"activemq-5.2.0",2,"DT","F1_W",0.4,0.4
"activemq-5.2.0",4,"RF","MCC",0.4,0.4
"activemq-5.2.0",2,"RF","LogLoss",0.43,0.43
"activemq-5.2.0",3,"RF","Gmean",0.41,0.41
"activemq-5.2.0",4,"RF","ACC",0.4,0.4
"activemq-5.2.0",1,"RF","BAL_ACC",0.44,0.44
"activemq-5.2.0",1,"RF","AUC",0.44,0.44
"activemq-5.2.0",4,"RF","F1",0.4,0.4
"activemq-5.2.0",4,"RF","F1_W",0.4,0.4
"activemq-5.2.0",4,"KNN","MCC",0.35,0.35
"activemq-5.2.0",5,"KNN","LogLoss",0.34,0.34
"activemq-5.2.0",2,"KNN","Gmean",0.39,0.39
"activemq-5.2.0",4,"KNN","ACC",0.35,0.35
"activemq-5.2.0",2,"KNN","BAL_ACC",0.39,0.39
"activemq-5.2.0",3,"KNN","AUC",0.36,0.36
"activemq-5.2.0",1,"KNN","F1",0.4,0.4
"activemq-5.2.0",4,"KNN","F1_W",0.35,0.35
"activemq-5.3.0",6,"DT","MCC",0.11,0.11
"activemq-5.3.0",3,"DT","LogLoss",0.23,0.23
"activemq-5.3.0",5,"DT","Gmean",0.19,0.19
"activemq-5.3.0",1,"DT","ACC",0.3,0.3
"activemq-5.3.0",4,"DT","BAL_ACC",0.2,0.2
"activemq-5.3.0",6,"DT","AUC",0.11,0.11
"activemq-5.3.0",2,"DT","F1",0.29,0.29
"activemq-5.3.0",2,"DT","F1_W",0.29,0.29
"activemq-5.3.0",2,"RF","MCC",0.23,0.23
"activemq-5.3.0",1,"RF","LogLoss",0.24,0.24
"activemq-5.3.0",5,"RF","Gmean",0.19,0.19
"activemq-5.3.0",6,"RF","ACC",0,0
"activemq-5.3.0",4,"RF","BAL_ACC",0.2,0.2
"activemq-5.3.0",3,"RF","AUC",0.21,0.21
"activemq-5.3.0",1,"RF","F1",0.24,0.24
"activemq-5.3.0",6,"RF","F1_W",0,0
"activemq-5.3.0",3,"KNN","MCC",0.27,0.27
"activemq-5.3.0",5,"KNN","LogLoss",0.11,0.11
"activemq-5.3.0",2,"KNN","Gmean",0.28,0.28
"activemq-5.3.0",3,"KNN","ACC",0.27,0.27
"activemq-5.3.0",2,"KNN","BAL_ACC",0.28,0.28
"activemq-5.3.0",4,"KNN","AUC",0.12,0.12
"activemq-5.3.0",2,"KNN","F1",0.28,0.28
"activemq-5.3.0",1,"KNN","F1_W",0.32,0.32
"groovy-1_5_7",4,"DT","MCC",0.29,0.29
"groovy-1_5_7",1,"DT","LogLoss",0.39,0.39
"groovy-1_5_7",5,"DT","Gmean",0.28,0.28
"groovy-1_5_7",6,"DT","ACC",0.16,0.16
"groovy-1_5_7",1,"DT","BAL_ACC",0.39,0.39
"groovy-1_5_7",3,"DT","AUC",0.34,0.34
"groovy-1_5_7",2,"DT","F1",0.37,0.37
"groovy-1_5_7",6,"DT","F1_W",0.16,0.16
"groovy-1_5_7",5,"RF","MCC",0.33,0.33
"groovy-1_5_7",4,"RF","LogLoss",0.34,0.34
"groovy-1_5_7",6,"RF","Gmean",0.32,0.32
"groovy-1_5_7",7,"RF","ACC",0.16,0.16
"groovy-1_5_7",1,"RF","BAL_ACC",0.38,0.38
"groovy-1_5_7",3,"RF","AUC",0.35,0.35
"groovy-1_5_7",3,"RF","F1",0.35,0.35
"groovy-1_5_7",2,"RF","F1_W",0.37,0.37
"groovy-1_5_7",4,"KNN","MCC",0.13,0.13
"groovy-1_5_7",4,"KNN","LogLoss",0.13,0.13
"groovy-1_5_7",1,"KNN","Gmean",0.3,0.3
"groovy-1_5_7",4,"KNN","ACC",0.13,0.13
"groovy-1_5_7",1,"KNN","BAL_ACC",0.3,0.3
"groovy-1_5_7",4,"KNN","AUC",0.13,0.13
