"file","group","model","scorer","mean","median"
"activemq-5.0.0",1,"FFT","MCC",0.32,0.32
"activemq-5.0.0",1,"FFT","Gmean",0.32,0.32
"activemq-5.0.0",2,"FFT","ACC",0.24,0.24
"activemq-5.0.0",1,"FFT","BAL_ACC",0.32,0.32
"activemq-5.0.0",1,"FFT","F1",0.32,0.32
"activemq-5.0.0",1,"FFT","F1_W",0.32,0.32
"activemq-5.1.0",1,"FFT","MCC",0.49,0.49
"activemq-5.1.0",3,"FFT","Gmean",0.37,0.37
"activemq-5.1.0",5,"FFT","ACC",0.12,0.12
"activemq-5.1.0",3,"FFT","BAL_ACC",0.37,0.37
"activemq-5.1.0",2,"FFT","F1",0.47,0.47
"activemq-5.1.0",4,"FFT","F1_W",0.29,0.29
"derby-10.2.1.6",1,"FFT","MCC",0.61,0.61
"derby-10.2.1.6",1,"FFT","Gmean",0.61,0.61
"derby-10.2.1.6",2,"FFT","ACC",0.56,0.56
"derby-10.2.1.6",1,"FFT","BAL_ACC",0.61,0.61
"derby-10.2.1.6",1,"FFT","F1",0.61,0.61
"derby-10.2.1.6",2,"FFT","F1_W",0.56,0.56
"derby-10.3.1.4",3,"FFT","MCC",0.28,0.28
"derby-10.3.1.4",2,"FFT","Gmean",0.29,0.29
"derby-10.3.1.4",4,"FFT","ACC",0.17,0.17
"derby-10.3.1.4",1,"FFT","BAL_ACC",0.34,0.34
"derby-10.3.1.4",1,"FFT","F1",0.34,0.34
"derby-10.3.1.4",3,"FFT","F1_W",0.28,0.28
"activemq-5.2.0",1,"FFT","MCC",0.4,0.4
"activemq-5.2.0",1,"FFT","Gmean",0.4,0.4
"activemq-5.2.0",3,"FFT","ACC",0.36,0.36
"activemq-5.2.0",1,"FFT","BAL_ACC",0.4,0.4
"activemq-5.2.0",1,"FFT","F1",0.4,0.4
"activemq-5.2.0",2,"FFT","F1_W",0.39,0.39
"activemq-5.3.0",3,"FFT","MCC",0.28,0.28
"activemq-5.3.0",5,"FFT","Gmean",0.25,0.25
"activemq-5.3.0",1,"FFT","ACC",0.37,0.37
"activemq-5.3.0",5,"FFT","BAL_ACC",0.25,0.25
"activemq-5.3.0",4,"FFT","F1",0.26,0.26
"activemq-5.3.0",2,"FFT","F1_W",0.33,0.33
"groovy-1_5_7",1,"FFT","MCC",0.45,0.45
"groovy-1_5_7",2,"FFT","Gmean",0.38,0.38
"groovy-1_5_7",4,"FFT","ACC",0.2,0.2
"groovy-1_5_7",2,"FFT","BAL_ACC",0.38,0.38
"groovy-1_5_7",1,"FFT","F1",0.45,0.45
"groovy-1_5_7",3,"FFT","F1_W",0.26,0.26
"groovy-1_6_BETA_1",1,"FFT","MCC",0.41,0.41
"groovy-1_6_BETA_1",2,"FFT","Gmean",0.38,0.38
"groovy-1_6_BETA_1",5,"FFT","ACC",0.16,0.16
"groovy-1_6_BETA_1",2,"FFT","BAL_ACC",0.38,0.38
"groovy-1_6_BETA_1",3,"FFT","F1",0.31,0.31
