"file","group","model","scorer","mean","median"
"activemq-5.0.0",1,"FFT","MCC",0.49,0.49
"activemq-5.0.0",1,"FFT","Gmean",0.49,0.49
"activemq-5.0.0",2,"FFT","ACC",0.38,0.38
"activemq-5.0.0",1,"FFT","BAL_ACC",0.49,0.49
"activemq-5.0.0",1,"FFT","F1",0.49,0.49
"activemq-5.0.0",1,"FFT","F1_W",0.49,0.49
"activemq-5.1.0",2,"FFT","MCC",0.66,0.66
"activemq-5.1.0",1,"FFT","Gmean",0.7,0.7
"activemq-5.1.0",5,"FFT","ACC",0.26,0.26
"activemq-5.1.0",1,"FFT","BAL_ACC",0.7,0.7
"activemq-5.1.0",3,"FFT","F1",0.57,0.57
"activemq-5.1.0",4,"FFT","F1_W",0.42,0.42
"derby-10.2.1.6",1,"FFT","MCC",0.72,0.72
"derby-10.2.1.6",1,"FFT","Gmean",0.72,0.72
"derby-10.2.1.6",2,"FFT","ACC",0.66,0.66
"derby-10.2.1.6",1,"FFT","BAL_ACC",0.72,0.72
"derby-10.2.1.6",1,"FFT","F1",0.72,0.72
"derby-10.2.1.6",2,"FFT","F1_W",0.66,0.66
"derby-10.3.1.4",3,"FFT","MCC",0.41,0.41
"derby-10.3.1.4",1,"FFT","Gmean",0.53,0.53
"derby-10.3.1.4",4,"FFT","ACC",0.31,0.31
"derby-10.3.1.4",2,"FFT","BAL_ACC",0.5,0.5
"derby-10.3.1.4",2,"FFT","F1",0.5,0.5
"derby-10.3.1.4",3,"FFT","F1_W",0.41,0.41
"activemq-5.2.0",1,"FFT","MCC",0.66,0.66
"activemq-5.2.0",1,"FFT","Gmean",0.66,0.66
"activemq-5.2.0",3,"FFT","ACC",0.51,0.51
"activemq-5.2.0",1,"FFT","BAL_ACC",0.66,0.66
"activemq-5.2.0",1,"FFT","F1",0.66,0.66
"activemq-5.2.0",2,"FFT","F1_W",0.63,0.63
"activemq-5.3.0",3,"FFT","MCC",0.69,0.69
"activemq-5.3.0",1,"FFT","Gmean",0.74,0.74
"activemq-5.3.0",4,"FFT","ACC",0.65,0.65
"activemq-5.3.0",1,"FFT","BAL_ACC",0.74,0.74
"activemq-5.3.0",2,"FFT","F1",0.73,0.73
"activemq-5.3.0",5,"FFT","F1_W",0.6,0.6
"groovy-1_5_7",1,"FFT","MCC",0.66,0.66
"groovy-1_5_7",2,"FFT","Gmean",0.63,0.63
"groovy-1_5_7",4,"FFT","ACC",0.34,0.34
"groovy-1_5_7",2,"FFT","BAL_ACC",0.63,0.63
"groovy-1_5_7",1,"FFT","F1",0.66,0.66
"groovy-1_5_7",3,"FFT","F1_W",0.4,0.4
"groovy-1_6_BETA_1",2,"FFT","MCC",0.67,0.67
"groovy-1_6_BETA_1",1,"FFT","Gmean",0.68,0.68
"groovy-1_6_BETA_1",5,"FFT","ACC",0.3,0.3
"groovy-1_6_BETA_1",1,"FFT","BAL_ACC",0.68,0.68
"groovy-1_6_BETA_1",3,"FFT","F1",0.5,0.5
"groovy-1_6_BETA_1",4,"FFT","F1_W",0.39,0.39
"hbase-0.94.0",1,"FFT","MCC",0.58,0.58
"hbase-0.94.0",1,"FFT","Gmean",0.58,0.58
"hbase-0.94.0",3,"FFT","ACC",0.39,0.39
"hbase-0.94.0",1,"FFT","BAL_ACC",0.58,0.58
"hbase-0.94.0",1,"FFT","F1",0.58,0.58
"hbase-0.94.0",2,"FFT","F1_W",0.48,0.48
"hbase-0.95.0",2,"FFT","MCC",0.62,0.62
"hbase-0.95.0",1,"FFT","Gmean",0.65,0.65
"hbase-0.95.0",3,"FFT","ACC",0.47,0.47
"hbase-0.95.0",1,"FFT","BAL_ACC",0.65,0.65
"hbase-0.95.0",1,"FFT","F1",0.65,0.65
"hbase-0.95.0",2,"FFT","F1_W",0.62,0.62
"hive-0.10.0",1,"FFT","MCC",0.77,0.77
"hive-0.10.0",3,"FFT","Gmean",0.71,0.71
