"file","group","model","scorer","mean","median"
"activemq-5.0.0",1,"DT","MCC",0.49,0.49
"activemq-5.0.0",3,"DT","LogLoss",0.34,0.34
"activemq-5.0.0",1,"DT","Gmean",0.49,0.49
"activemq-5.0.0",1,"DT","ACC",0.49,0.49
"activemq-5.0.0",2,"DT","BAL_ACC",0.43,0.43
"activemq-5.0.0",4,"DT","AUC",0.33,0.33
"activemq-5.0.0",1,"DT","F1",0.49,0.49
"activemq-5.0.0",1,"DT","F1_W",0.49,0.49
"activemq-5.0.0",5,"RF","MCC",0.34,0.34
"activemq-5.0.0",4,"RF","LogLoss",0.36,0.36
"activemq-5.0.0",5,"RF","Gmean",0.34,0.34
"activemq-5.0.0",3,"RF","ACC",0.49,0.49
"activemq-5.0.0",2,"RF","BAL_ACC",0.64,0.64
"activemq-5.0.0",1,"RF","AUC",0.69,0.69
"activemq-5.0.0",5,"RF","F1",0.34,0.34
"activemq-5.0.0",5,"RF","F1_W",0.34,0.34
"activemq-5.0.0",2,"KNN","MCC",0.55,0.55
"activemq-5.0.0",4,"KNN","LogLoss",0.47,0.47
"activemq-5.0.0",1,"KNN","Gmean",0.63,0.63
"activemq-5.0.0",2,"KNN","ACC",0.55,0.55
"activemq-5.0.0",1,"KNN","BAL_ACC",0.63,0.63
"activemq-5.0.0",3,"KNN","AUC",0.54,0.54
"activemq-5.0.0",2,"KNN","F1",0.55,0.55
"activemq-5.0.0",2,"KNN","F1_W",0.55,0.55
"activemq-5.1.0",6,"DT","MCC",0.66,0.66
"activemq-5.1.0",3,"DT","LogLoss",0.73,0.73
"activemq-5.1.0",4,"DT","Gmean",0.71,0.71
"activemq-5.1.0",6,"DT","ACC",0.66,0.66
"activemq-5.1.0",2,"DT","BAL_ACC",0.75,0.75
"activemq-5.1.0",1,"DT","AUC",0.8,0.8
"activemq-5.1.0",7,"DT","F1",0.47,0.47
"activemq-5.1.0",5,"DT","F1_W",0.69,0.69
"activemq-5.1.0",5,"RF","MCC",0.7,0.7
"activemq-5.1.0",5,"RF","LogLoss",0.7,0.7
"activemq-5.1.0",2,"RF","Gmean",0.73,0.73
"activemq-5.1.0",6,"RF","ACC",0,0
"activemq-5.1.0",1,"RF","BAL_ACC",0.74,0.74
"activemq-5.1.0",4,"RF","AUC",0.71,0.71
"activemq-5.1.0",3,"RF","F1",0.72,0.72
"activemq-5.1.0",6,"RF","F1_W",0,0
"activemq-5.1.0",4,"KNN","MCC",0.27,0.27
"activemq-5.1.0",3,"KNN","LogLoss",0.33,0.33
"activemq-5.1.0",1,"KNN","Gmean",0.48,0.48
"activemq-5.1.0",4,"KNN","ACC",0.27,0.27
"activemq-5.1.0",1,"KNN","BAL_ACC",0.48,0.48
"activemq-5.1.0",2,"KNN","AUC",0.35,0.35
"activemq-5.1.0",1,"KNN","F1",0.48,0.48
"activemq-5.1.0",4,"KNN","F1_W",0.27,0.27
"derby-10.2.1.6",3,"DT","MCC",0.67,0.67
"derby-10.2.1.6",1,"DT","LogLoss",0.73,0.73
"derby-10.2.1.6",2,"DT","Gmean",0.71,0.71
"derby-10.2.1.6",3,"DT","ACC",0.67,0.67
"derby-10.2.1.6",2,"DT","BAL_ACC",0.71,0.71
"derby-10.2.1.6",2,"DT","AUC",0.71,0.71
"derby-10.2.1.6",2,"DT","F1",0.71,0.71
"derby-10.2.1.6",3,"DT","F1_W",0.67,0.67
"derby-10.2.1.6",5,"RF","MCC",0.7,0.7
"derby-10.2.1.6",2,"RF","LogLoss",0.73,0.73
"derby-10.2.1.6",1,"RF","Gmean",0.74,0.74
"derby-10.2.1.6",4,"RF","ACC",0.71,0.71
"derby-10.2.1.6",4,"RF","BAL_ACC",0.71,0.71
"derby-10.2.1.6",3,"RF","AUC",0.72,0.72
"derby-10.2.1.6",4,"RF","F1",0.71,0.71
"derby-10.2.1.6",4,"RF","F1_W",0.71,0.71
"derby-10.2.1.6",1,"KNN","MCC",0.72,0.72
"derby-10.2.1.6",3,"KNN","LogLoss",0.7,0.7
